name,id,price,type,date
Hồng trà vị đào C2 500ml,N012,15000,CASH_AT_MACHINE,2025-05-07 16:47:09.182000
Hồng trà vị đào C2 500ml,N012,15000,CASH_AT_MACHINE,2025-05-07 16:47:09.182000
TH trà xanh,N00033,15000,VNPAY,2025-05-07 11:02:14.454000
Sữa đậu nành Fami canxi,SD0012,7000,MOMO,2025-05-07 04:33:03.371000
Boncha Mật ong,N105,15000,VNPAY,2025-05-06 13:33:03.222000
Sữa đậu nành vị đậu đỏ,SD0016,8000,VNPAY,2025-05-06 08:00:04.108000
Bánh chocopie,DA008,6000,CASH_AT_MACHINE,2025-05-06 02:04:39.788000
Sữa đậu nành Fami canxi,SD0012,7000,CASH_AT_MACHINE,2025-05-06 02:04:39.788000
Bánh chocopie,DA008,6000,VIETQR,2025-05-05 19:29:08.584000
Bánh trứng Custas ,DA010,6000,VIETQR,2025-05-05 17:40:44.675000
Bánh trứng sữa mềm Belgi,B0060,7000,MOMO,2025-05-05 17:30:14.439000
Bánh trứng sữa mềm Belgi,B0060,7000,MOMO,2025-05-05 17:30:14.439000
Boncha Mật ong,N105,15000,MOMO,2025-05-05 17:29:33.221000
Bánh trứng sữa mềm Belgi,B0060,7000,MOMO,2025-05-05 17:29:33.221000
Bánh trứng sữa mềm Belgi,B0060,7000,MOMO,2025-05-05 17:29:33.221000
Aquarius không calo,N032,15000,VIETQR,2025-05-05 13:49:07.495000
Trà đen vị chanh Lipton 455ml,N00050,15000,VIETQR,2025-05-05 10:42:58.728000
Sữa đậu nành Fami canxi,SD0012,7000,VIETQR,2025-05-05 07:48:19.056000
Milo 180ml sữa hộp,N018,11000,MOMO,2025-05-05 07:03:45.454000
Bánh trứng sữa mềm Belgi,B0060,7000,VNPAY,2025-05-04 20:46:13.064000
Sữa đậu nành Fami canxi,SD0012,7000,VNPAY,2025-05-04 20:46:13.064000
Aquarius không calo,N032,15000,VNPAY,2025-05-04 20:39:20.153000
Aquarius không calo,N032,15000,VNPAY,2025-05-04 20:39:20.153000
Bánh chocopie,DA008,6000,VIETQR,2025-05-04 15:46:42.904000
Bánh trứng sữa mềm Belgi,B0060,7000,VIETQR,2025-05-04 15:46:42.904000
Trà đen vị chanh Lipton 455ml,N00050,15000,VIETQR,2025-05-04 12:45:02.709000
Bánh trứng Custas ,DA010,6000,VIETQR,2025-05-04 07:40:50.533000
Bánh trứng Custas ,DA010,6000,VIETQR,2025-05-04 07:40:50.533000
Nước 7Up revive bù nước 390ml,N030,15000,VIETQR,2025-05-04 07:19:20.079000
Aquarius không calo,N032,15000,CASH_AT_MACHINE,2025-05-03 16:18:12.397000
Nutri Boost dâu sữa yến mạch 297ml,N021,15000,CASH_AT_MACHINE,2025-05-03 16:04:42.038000
Goodmood vị sữa chua,N108,15000,VIETQR,2025-05-03 09:42:47.028000
Kẹo cao su Cool Air,B0057,7000,CASH_AT_MACHINE,2025-05-03 09:10:46.509000
Nước 7Up revive bù nước 390ml,N030,15000,VIETQR,2025-05-03 08:40:33.560000
Boncha Mật ong,N105,15000,VNPAY,2025-05-03 08:33:24.985000
Bánh trứng sữa mềm Belgi,B0060,7000,VIETQR,2025-05-02 16:36:30.917000
Bánh trứng Custas ,DA010,6000,CASH_AT_MACHINE,2025-05-02 16:33:34.382000
Nutri Boost dâu sữa yến mạch 297ml,N021,15000,VIETQR,2025-05-02 10:07:25.292000
Sữa đậu nành vị đậu đỏ,SD0016,8000,VIETQR,2025-05-02 10:06:50.197000
Nước lọc lavie 500ml,N001,10000,VIETQR,2025-05-02 07:45:27.033000
Nutri Boost dâu sữa yến mạch 297ml,N021,15000,CASH_AT_MACHINE,2025-05-02 07:10:26.086000
Bánh trứng sữa mềm Belgi,B0060,7000,CASH_AT_MACHINE,2025-05-02 04:46:30.976000
Sữa đậu nành Fami canxi,SD0012,7000,CASH_AT_MACHINE,2025-05-02 04:46:30.976000
Bánh trứng sữa mềm Belgi,B0060,7000,VIETQR,2025-05-01 09:54:14.647000
Hồng trà vị đào C2 500ml,N012,15000,VIETQR,2025-04-30 18:32:26.055000
Sữa đậu nành vị đậu đỏ,SD0016,8000,VIETQR,2025-04-30 03:54:43.749000
Snack tôm cay đặc biệt ,B0078,9000,VIETQR,2025-04-29 22:18:00.905000
Milo 180ml sữa hộp,N018,11000,VIETQR,2025-04-29 22:18:00.905000
TH trà xanh,N00033,15000,VNPAY,2025-04-29 14:07:43.657000
Bánh trứng sữa mềm Belgi,B0060,7000,CASH_AT_MACHINE,2025-04-28 22:19:06.958000
Goodmood vị sữa chua,N108,15000,CASH_AT_MACHINE,2025-04-28 22:18:04.014000
Bánh chocopie,DA008,6000,CASH_AT_MACHINE,2025-04-28 22:17:20.106000
Nutri Boost dâu sữa yến mạch 297ml,N021,15000,CASH_AT_MACHINE,2025-04-28 17:27:19.235000
Trà Latter sữa 400ml,V006,15000,VIETQR,2025-04-28 12:21:55.182000
Sữa đậu nành Fami canxi,SD0012,6000,CASH_AT_MACHINE,2025-04-28 03:56:01.128000
Sữa đậu nành vị đậu đỏ,SD0016,8000,CASH_AT_MACHINE,2025-04-28 03:55:40.730000
Sữa đậu nành Fami canxi,SD0012,7000,CASH_AT_MACHINE,2025-04-28 03:55:40.730000
Cozy trà đào sả,N0011,15000,VIETQR,2025-04-27 19:33:27.449000
Cozy trà đào sả,N0011,15000,VNPAY,2025-04-27 19:32:10.618000
Cà phê sữa đá Highlands Coffee 235ml,N022,17000,VIETQR,2025-04-27 13:57:33.111000
Trà xanh 0 độ,N00036,15000,VIETQR,2025-04-27 12:28:45.309000
Trà Latter sữa 400ml,V006,15000,VIETQR,2025-04-27 11:46:11.142000
Đậu phộng da cá Poca,B056,7000,VIETQR,2025-04-27 10:46:01.813000
Bánh chocopie,DA008,6000,VIETQR,2025-04-27 10:46:01.813000
Cozy tắc mật ong ,B018,15000,VIETQR,2025-04-27 10:46:01.813000
Trà Latter sữa 400ml,V006,15000,VIETQR,2025-04-26 22:32:24.511000
Snack tôm cay đặc biệt ,B0078,9000,VIETQR,2025-04-26 22:32:24.511000
Snack tôm cay đặc biệt ,B0078,9000,VIETQR,2025-04-26 22:32:24.511000
Snack tôm cay đặc biệt ,B0078,9000,VIETQR,2025-04-26 20:37:55.197000
Nước lọc lavie 500ml,N001,10000,VIETQR,2025-04-26 14:54:44.877000
